Teff,log_g,Fe_H,a_1,a_2,a_3,a_4
 4526.03,5.00, 0.0, 0.72942,-0.19873, 0.47357,-0.16298
 4976.20,5.00, 0.0, 0.51685, 0.09218, 0.38044,-0.20079
 5509.50,5.00, 0.0, 0.50978, 0.06996, 0.34212,-0.19953
 4056.19,2.00, 0.5, 0.84962,-0.97813, 1.54935,-0.56871
 3953.50,2.50, 0.5, 0.68359,-0.67443, 1.18034,-0.38531
 4470.97,2.50, 0.5, 1.02085,-1.29641, 1.79407,-0.65857
 4490.40,3.00, 0.5, 0.92762,-1.12554, 1.63406,-0.60031
 4963.15,3.00, 0.5, 0.83475,-0.83945, 1.33880,-0.53649
 4531.27,3.50, 0.5, 0.91643,-0.98290, 1.44458,-0.52598
 4988.91,3.50, 0.5, 0.79246,-0.78202, 1.31503,-0.53963
 4549.22,4.00, 0.5, 0.81438,-0.68022, 1.10012,-0.38975
 5083.68,4.00, 0.5, 0.75519,-0.64865, 1.13738,-0.45974
 5542.42,4.00, 0.5, 0.72589,-0.57870, 1.06766,-0.47087
 5824.45,4.44, 0.5, 0.70518,-0.35367, 0.70342,-0.31373
 4543.15,4.50, 0.5, 0.51529,-0.04656, 0.39423,-0.13309
 5056.36,4.50, 0.5, 0.73182,-0.59415, 1.10814,-0.45256
 5554.75,4.50, 0.5, 0.70271,-0.52684, 1.00149,-0.43545
 5938.44,4.50, 0.5, 0.66716,-0.33138, 0.70191,-0.32160
 4953.82,5.00, 0.5, 0.63589,-0.29320, 0.76170,-0.31004
 5550.69,5.00, 0.5, 0.69645,-0.39295, 0.83525,-0.36962
