Teff,log_g,Fe_H,a_1,a_2,a_3,a_4
 5500.00,3.00,-0.5, 0.6456,-0.2738, 0.5526,-0.2439
 4500.00,3.00, 0.0, 0.7595,-0.7569, 1.2757,-0.4858
 4750.00,3.00, 0.0, 0.7234,-0.7113, 1.2837,-0.5319
 5000.00,3.00, 0.0, 0.6608,-0.5029, 1.0295,-0.4517
 5250.00,3.00, 0.0, 0.5717,-0.1317, 0.5131,-0.2452
 5500.00,3.00, 0.0, 0.4562, 0.4022,-0.2654, 0.0875
 4500.00,3.00, 0.5, 0.9256,-1.1194, 1.6276,-0.5988
 4750.00,3.00, 0.5, 0.8765,-0.9679, 1.4712,-0.5650
 5000.00,3.00, 0.5, 0.8273,-0.8164, 1.3149,-0.5311
 5000.00,3.50,-1.0, 0.4806, 0.1331, 0.2655,-0.1545
 5250.00,3.50,-1.0, 0.4673, 0.3061,-0.0660,-0.0053
 5500.00,3.50,-1.0, 0.5331, 0.2460,-0.1282, 0.0401
 5750.00,3.50,-1.0, 0.6780,-0.0475, 0.0789,-0.0184
 6000.00,3.50,-1.0, 0.9019,-0.5742, 0.5553,-0.1806
 4250.00,3.50,-0.5, 0.8965,-0.6466, 0.8672,-0.2705
 4500.00,3.50,-0.5, 0.8565,-0.7984, 1.1479,-0.4111
 4750.00,3.50,-0.5, 0.7989,-0.7954, 1.2137,-0.4639
 5000.00,3.50,-0.5, 0.7237,-0.6378, 1.0646,-0.4289
 5250.00,3.50,-0.5, 0.6324,-0.3301, 0.7056,-0.3079
 5500.00,3.50,-0.5, 0.6006,-0.1283, 0.4119,-0.1962
 5750.00,3.50,-0.5, 0.6714,-0.1783, 0.3406,-0.1482
 6000.00,3.50,-0.5, 0.8449,-0.4801, 0.4916,-0.1640
 4500.00,3.50, 0.0, 0.8600,-0.9055, 1.3796,-0.5101
 4750.00,3.50, 0.0, 0.7686,-0.7248, 1.2466,-0.4991
 5000.00,3.50, 0.0, 0.6861,-0.5010, 1.0066,-0.4316
 5250.00,3.50, 0.0, 0.6124,-0.2341, 0.6593,-0.3076
 5500.00,3.50, 0.0, 0.5798,-0.0287, 0.3239,-0.1700
 5750.00,3.50, 0.0, 0.6430,-0.0630, 0.2025,-0.0922
 6000.00,3.50, 0.0, 0.8028,-0.3399, 0.2987,-0.0753
 4500.00,3.50, 0.5, 0.9250,-0.9971, 1.4540,-0.5253
 4750.00,3.50, 0.5, 0.8572,-0.8869, 1.3827,-0.5325
 5000.00,3.50, 0.5, 0.7893,-0.7767, 1.3114,-0.5398
 5000.00,4.00,-2.0, 0.4648, 0.9455,-1.0144, 0.3818
 5250.00,4.00,-2.0, 1.0118,-0.3798, 0.2432,-0.0508
 5500.00,4.00,-2.0, 1.3609,-1.2931, 1.1382,-0.3642
 5750.00,4.00,-2.0, 1.5133,-1.7959, 1.6712,-0.5585
 6000.00,4.00,-2.0, 1.5534,-1.9943, 1.8818,-0.6329
 6250.00,4.00,-2.0, 1.5337,-1.9539, 1.7947,-0.5870
 6500.00,4.00,-2.0, 1.4540,-1.6747, 1.4097,-0.4209
 5000.00,4.00,-1.0, 0.4745, 0.1757, 0.2408,-0.1546
 5250.00,4.00,-1.0, 0.4365, 0.3384,-0.0283,-0.0393
 5500.00,4.00,-1.0, 0.4500, 0.3575,-0.1342, 0.0161
 5750.00,4.00,-1.0, 0.5156, 0.2324,-0.0769, 0.0116
 6000.00,4.00,-1.0, 0.6488,-0.0530, 0.1433,-0.0528
 6250.00,4.00,-1.0, 0.8569,-0.5065, 0.5265,-0.1772
 6500.00,4.00,-1.0, 1.1400,-1.1280, 1.0725,-0.3615
 4500.00,4.00,-0.5, 0.7892,-0.5630, 0.8875,-0.3190
 4750.00,4.00,-0.5, 0.7182,-0.6346, 1.0376,-0.4031
 5000.00,4.00,-0.5, 0.6553,-0.5533, 0.9776,-0.3984
 5250.00,4.00,-0.5, 0.6010,-0.3223, 0.7116,-0.3064
 5500.00,4.00,-0.5, 0.5841,-0.1351, 0.4503,-0.2047
 5750.00,4.00,-0.5, 0.6209,-0.1025, 0.3144,-0.1380
 6000.00,4.00,-0.5, 0.7079,-0.2110, 0.3085,-0.1133
 6250.00,4.00,-0.5, 0.8399,-0.4412, 0.4392,-0.1415
 6500.00,4.00,-0.5, 1.0168,-0.7927, 0.7066,-0.2225
 4500.00,4.00, 0.0, 0.8264,-0.7462, 1.1991,-0.4431
 4750.00,4.00, 0.0, 0.7967,-0.7539, 1.2597,-0.4981
 5000.00,4.00, 0.0, 0.7426,-0.6391, 1.1458,-0.4769
 5250.00,4.00, 0.0, 0.6639,-0.4019, 0.8573,-0.3793
 5500.00,4.00, 0.0, 0.5941,-0.1469, 0.5129,-0.2479
 5750.00,4.00, 0.0, 0.5671, 0.0196, 0.2337,-0.1260
 6000.00,4.00, 0.0, 0.6023, 0.0180, 0.1281,-0.0641
 6250.00,4.00, 0.0, 0.7231,-0.2479, 0.3275,-0.1232
 6500.00,4.00, 0.0, 0.9295,-0.7782, 0.8321,-0.3033
 4500.00,4.00, 0.5, 0.8210,-0.6799, 1.0896,-0.3799
 4750.00,4.00, 0.5, 0.7891,-0.6750, 1.1295,-0.4234
 5000.00,4.00, 0.5, 0.7629,-0.6578, 1.1408,-0.4532
 5250.00,4.00, 0.5, 0.7424,-0.6282, 1.1234,-0.4692
 5500.00,4.00, 0.5, 0.7276,-0.5864, 1.0775,-0.4715
 5000.00,4.50,-2.0, 0.9675,-0.0341,-0.1382, 0.0699
 5250.00,4.50,-2.0, 0.9111, 0.1424,-0.4302, 0.2110
 5500.00,4.50,-2.0, 0.9630,-0.0545,-0.2592, 0.1641
 5750.00,4.50,-2.0, 1.1232,-0.6249, 0.3748,-0.0707
 6000.00,4.50,-2.0, 1.2995,-1.2666, 1.1164,-0.3540
 6250.00,4.50,-2.0, 1.3790,-1.6093, 1.5297,-0.5146
 6500.00,4.50,-2.0, 1.3613,-1.6519, 1.6135,-0.5520
 5000.00,4.50,-1.0, 0.3381, 0.5246,-0.0697,-0.0574
 5250.00,4.50,-1.0, 0.2151, 0.9807,-0.6769, 0.1822
 5500.00,4.50,-1.0, 0.2814, 0.9354,-0.7606, 0.2372
 5750.00,4.50,-1.0, 0.5363, 0.3904,-0.3224, 0.1081
 6000.00,4.50,-1.0, 0.7756,-0.1752, 0.1773,-0.0511
 6250.00,4.50,-1.0, 0.8397,-0.3874, 0.3793,-0.1201
 6500.00,4.50,-1.0, 0.7288,-0.2463, 0.2837,-0.0991
 4500.00,4.50,-0.5, 0.6708,-0.1149, 0.3667,-0.1297
 4750.00,4.50,-0.5, 0.5454, 0.0347, 0.3275,-0.1552
 5000.00,4.50,-0.5, 0.4678, 0.1330, 0.2851,-0.1641
 5250.00,4.50,-0.5, 0.4379, 0.1798, 0.2395,-0.1564
 5500.00,4.50,-0.5, 0.4559, 0.1753, 0.1909,-0.1322
 5750.00,4.50,-0.5, 0.5211, 0.1195, 0.1401,-0.0920
 6000.00,4.50,-0.5, 0.6043, 0.0127, 0.1441,-0.0721
 6250.00,4.50,-0.5, 0.6886,-0.1450, 0.2359,-0.0933
 6500.00,4.50,-0.5, 0.8035,-0.4171, 0.4716,-0.1732
 6750.00,4.50,-0.5, 0.9731,-0.8547, 0.8963,-0.3259
 7000.00,4.50,-0.5, 1.1972,-1.4579, 1.5099,-0.5515
 4500.00,4.50, 0.0, 0.6504,-0.1850, 0.5553,-0.1954
 4750.00,4.50, 0.0, 0.6663,-0.3751, 0.8663,-0.3606
 5000.00,4.50, 0.0, 0.6613,-0.4175, 0.9430,-0.4143
 5250.00,4.50, 0.0, 0.6353,-0.3121, 0.7853,-0.3566
 5500.00,4.50, 0.0, 0.6026,-0.1475, 0.5250,-0.2480
 5750.00,4.50, 0.0, 0.5788,-0.0218, 0.3082,-0.1557
 6000.00,4.50, 0.0, 0.5922, 0.0071, 0.1936,-0.1003
 6250.00,4.50, 0.0, 0.6845,-0.1459, 0.2673,-0.1124
 6500.00,4.50, 0.0, 0.8198,-0.4104, 0.4600,-0.1682
 6750.00,4.50, 0.0, 0.9581,-0.7079, 0.6944,-0.2415
 7000.00,4.50, 0.0, 1.0996,-1.0385, 0.9705,-0.3321
 4500.00,4.50, 0.5, 0.4840, 0.0310, 0.2923,-0.0892
 4750.00,4.50, 0.5, 0.6373,-0.3507, 0.7927,-0.3068
 5000.00,4.50, 0.5, 0.7221,-0.5679, 1.0747,-0.4357
 5250.00,4.50, 0.5, 0.7385,-0.6203, 1.1384,-0.4760
 5500.00,4.50, 0.5, 0.7087,-0.5476, 1.0326,-0.4459
 5750.00,4.50, 0.5, 0.6829,-0.4375, 0.8659,-0.3859
 6000.00,4.50, 0.5, 0.6629,-0.2932, 0.6423,-0.2975
 5000.00,5.00,-2.0, 1.1348,-0.4116, 0.2031,-0.0549
 5250.00,5.00,-2.0, 0.9083, 0.1745,-0.4628, 0.2110
 5500.00,5.00,-2.0, 0.6818, 0.7605,-1.1287, 0.4768
 5000.00,5.00,-1.0, 0.3229, 0.5594,-0.0722,-0.0749
 5250.00,5.00,-1.0, 0.2516, 0.8341,-0.4530, 0.0782
 5500.00,5.00,-1.0, 0.1803, 1.1088,-0.8338, 0.2312
 4500.00,5.00,-0.5, 0.7321,-0.0920, 0.2274,-0.0645
 4750.00,5.00,-0.5, 0.5143, 0.0968, 0.2757,-0.1358
 4500.00,5.00, 0.0, 0.7474,-0.2239, 0.4802,-0.1595
 4750.00,5.00, 0.0, 0.6001,-0.0186, 0.4203,-0.1862
 5000.00,5.00, 0.0, 0.5111, 0.0992, 0.3776,-0.2020
 5250.00,5.00, 0.0, 0.4804, 0.1295, 0.3521,-0.2068
 5500.00,5.00, 0.0, 0.5080, 0.0724, 0.3437,-0.2006
 5000.00,5.00, 0.5, 0.6405,-0.3007, 0.7672,-0.3146
 5250.00,5.00, 0.5, 0.6659,-0.3426, 0.7981,-0.3396
 5500.00,5.00, 0.5, 0.6913,-0.3845, 0.8290,-0.3646
