Teff,log_g,Fe_H,a_1,a_2,a_3,a_4
 4000.00,1.50,-1.0, 1.0139,-1.4315, 2.0311,-0.7678
 4250.00,1.50,-1.0, 0.8597,-0.9750, 1.5125,-0.5965
 4500.00,1.50,-1.0, 0.7054,-0.5184, 0.9939,-0.4251
 4000.00,2.00,-2.0, 0.9025,-0.8127, 1.2361,-0.4646
 4250.00,2.00,-2.0, 0.8528,-0.5713, 0.9095,-0.3614
 4500.00,2.00,-2.0, 0.8031,-0.3300, 0.5829,-0.2582
 4000.00,2.00,-1.0, 0.7026,-0.5578, 1.0111,-0.3480
 4250.00,2.00,-1.0, 0.6488,-0.4523, 0.9488,-0.3681
 4500.00,2.00,-1.0, 0.5950,-0.3469, 0.8866,-0.3881
 4000.00,2.00,-0.5, 0.7630,-0.6155, 0.9855,-0.3345
 4250.00,2.00,-0.5, 0.8510,-0.8686, 1.2667,-0.4612
 4500.00,2.00,-0.5, 0.9390,-1.1217, 1.5478,-0.5880
 4000.00,2.00, 0.0, 0.9449,-1.3143, 1.8735,-0.6738
 4250.00,2.00, 0.0, 0.7621,-0.6896, 1.1817,-0.4451
 4500.00,2.00, 0.0, 0.7694,-0.6187, 1.0643,-0.4243
 4750.00,2.00, 0.0, 0.9666,-1.1014, 1.5212,-0.6113
 5000.00,2.00, 0.0, 1.3537,-2.1379, 2.5525,-1.0060
 4000.00,2.50,-2.0, 1.1554,-1.2891, 1.5838,-0.5632
 4250.00,2.50,-2.0, 0.9132,-0.6729, 1.0111,-0.4019
 4500.00,2.50,-2.0, 0.7921,-0.3426, 0.6749,-0.3031
 4750.00,2.50,-2.0, 0.7921,-0.2985, 0.5751,-0.2667
 5000.00,2.50,-2.0, 0.9132,-0.5403, 0.7118,-0.2928
 5250.00,2.50,-2.0, 1.1554,-1.0683, 1.0849,-0.3813
 5500.00,2.50,-2.0, 1.5187,-1.8823, 1.6945,-0.5323
 4000.00,2.50,-1.0, 0.6586,-0.2012, 0.4813,-0.1183
 4250.00,2.50,-1.0, 0.6937,-0.4258, 0.8274,-0.2991
 4500.00,2.50,-1.0, 0.7288,-0.6503, 1.1735,-0.4800
 4000.00,2.50,-0.5, 0.6492,-0.2657, 0.5830,-0.1705
 4250.00,2.50,-0.5, 0.7773,-0.6820, 1.0410,-0.3518
 4500.00,2.50,-0.5, 0.8383,-0.9075, 1.3089,-0.4752
 4750.00,2.50,-0.5, 0.8321,-0.9421, 1.3868,-0.5406
 5000.00,2.50,-0.5, 0.7589,-0.7859, 1.2748,-0.5481
 4000.00,2.50, 0.0, 0.6699,-0.5458, 1.0416,-0.3621
 4250.00,2.50, 0.0, 0.7618,-0.7862, 1.3156,-0.4920
 4500.00,2.50, 0.0, 0.8044,-0.8846, 1.4236,-0.5549
 4750.00,2.50, 0.0, 0.7978,-0.8409, 1.3655,-0.5508
 5000.00,2.50, 0.0, 0.7419,-0.6552, 1.1412,-0.4797
 4000.00,2.50, 0.5, 0.7140,-0.7307, 1.2360,-0.4101
 4250.00,2.50, 0.5, 0.8769,-1.0310, 1.5323,-0.5421
 4500.00,2.50, 0.5, 1.0397,-1.3313, 1.8287,-0.6740
 4500.00,3.00,-1.0, 0.7085,-0.5554, 1.0412,-0.4088
 4750.00,3.00,-1.0, 0.6911,-0.4411, 0.8429,-0.3320
 5000.00,3.00,-1.0, 0.6738,-0.3268, 0.6446,-0.2552
 5250.00,3.00,-1.0, 0.6565,-0.2125, 0.4463,-0.1784
 5500.00,3.00,-1.0, 0.6391,-0.0982, 0.2480,-0.1016
 5000.00,3.00,-0.5, 0.7100,-0.6098, 1.0247,-0.4147
 5250.00,3.00,-0.5, 0.6778,-0.4418, 0.7886,-0.3293
