source,name,slug
worldbank,World Bank,world-bank
oecd,OECD,oecd
wikipedia,Wikipedia,wikipedia
skolverket,Skolverket,skolverket
unsc,United Nations Security Council,united-nations-security-council
nobel,The Nobel Prize,the-nobel-prize
esv,Ekonomistyrningsverket,ekonomistyrningsverket
valforsk,Valforskningsprogrammet,valforskningsprogrammet
hdi,Human Development Index,human-development-index
