Teff,log_g,Fe_H,mu_000,mu_001,mu_005,mu_010,mu_020,mu_030,mu_050,mu_070,mu_080,mu_090,mu_100
 4000.00,1.50,-1.0, 0.0017, 0.2429, 0.3318, 0.3876, 0.4714, 0.5451, 0.6830, 0.8139, 0.8772, 0.9392, 1.0000
 4250.00,1.50,-1.0, 0.0018, 0.2765, 0.3595, 0.4150, 0.4990, 0.5727, 0.7066, 0.8296, 0.8880, 0.9448, 1.0000
 4500.00,1.50,-1.0, 0.0019, 0.3102, 0.3872, 0.4425, 0.5267, 0.6002, 0.7303, 0.8453, 0.8988, 0.9503, 1.0000
 4000.00,2.00,-2.0, 0.0018, 0.2220, 0.3126, 0.3774, 0.4715, 0.5504, 0.6917, 0.8213, 0.8827, 0.9423, 1.0000
 4250.00,2.00,-2.0, 0.0018, 0.2506, 0.3425, 0.4078, 0.5039, 0.5832, 0.7196, 0.8395, 0.8953, 0.9487, 1.0000
 4500.00,2.00,-2.0, 0.0019, 0.2793, 0.3723, 0.4383, 0.5362, 0.6159, 0.7474, 0.8578, 0.9079, 0.9552, 1.0000
 4000.00,2.00,-1.0, 0.0018, 0.2578, 0.3317, 0.3872, 0.4713, 0.5443, 0.6807, 0.8112, 0.8750, 0.9379, 1.0000
 4250.00,2.00,-1.0, 0.0018, 0.2839, 0.3553, 0.4090, 0.4922, 0.5652, 0.6993, 0.8243, 0.8844, 0.9429, 1.0000
 4500.00,2.00,-1.0, 0.0019, 0.3101, 0.3788, 0.4308, 0.5132, 0.5861, 0.7180, 0.8374, 0.8937, 0.9478, 1.0000
 4000.00,2.00,-0.5, 0.0000, 0.2723, 0.3523, 0.4084, 0.4938, 0.5667, 0.6986, 0.8222, 0.8823, 0.9415, 1.0000
 4250.00,2.00,-0.5, 0.0000, 0.2894, 0.3733, 0.4291, 0.5131, 0.5846, 0.7130, 0.8319, 0.8891, 0.9451, 1.0000
 4500.00,2.00,-0.5, 0.0000, 0.3066, 0.3943, 0.4498, 0.5324, 0.6024, 0.7275, 0.8416, 0.8960, 0.9487, 1.0000
 4000.00,2.00, 0.0, 0.0018, 0.2523, 0.3365, 0.3882, 0.4689, 0.5407, 0.6757, 0.8071, 0.8721, 0.9365, 1.0000
 4250.00,2.00, 0.0, 0.0017, 0.2613, 0.3390, 0.3959, 0.4816, 0.5554, 0.6919, 0.8199, 0.8814, 0.9414, 1.0000
 4500.00,2.00, 0.0, 0.0018, 0.2810, 0.3614, 0.4202, 0.5076, 0.5816, 0.7147, 0.8355, 0.8923, 0.9470, 1.0000
 4750.00,2.00, 0.0, 0.0021, 0.3113, 0.4037, 0.4610, 0.5471, 0.6193, 0.7442, 0.8539, 0.9047, 0.9533, 1.0000
 5000.00,2.00, 0.0, 0.0026, 0.3523, 0.4659, 0.5184, 0.5999, 0.6686, 0.7805, 0.8750, 0.9187, 0.9603, 1.0000
 4000.00,2.50,-2.0, 0.0018, 0.2171, 0.3237, 0.3938, 0.4908, 0.5688, 0.7050, 0.8291, 0.8878, 0.9448, 1.0000
 4250.00,2.50,-2.0, 0.0018, 0.2358, 0.3322, 0.3995, 0.4980, 0.5789, 0.7175, 0.8387, 0.8949, 0.9485, 1.0000
 4500.00,2.50,-2.0, 0.0018, 0.2549, 0.3466, 0.4128, 0.5119, 0.5937, 0.7313, 0.8482, 0.9016, 0.9520, 1.0000
 4750.00,2.50,-2.0, 0.0019, 0.2745, 0.3669, 0.4338, 0.5325, 0.6130, 0.7464, 0.8578, 0.9081, 0.9553, 1.0000
 5000.00,2.50,-2.0, 0.0019, 0.2946, 0.3933, 0.4623, 0.5598, 0.6370, 0.7629, 0.8672, 0.9143, 0.9584, 1.0000
 5250.00,2.50,-2.0, 0.0020, 0.3151, 0.4255, 0.4984, 0.5938, 0.6656, 0.7807, 0.8767, 0.9202, 0.9613, 1.0000
 5500.00,2.50,-2.0, 0.0021, 0.3362, 0.4637, 0.5421, 0.6345, 0.6988, 0.7998, 0.8861, 0.9258, 0.9639, 1.0000
 4000.00,2.50,-1.0, 0.0018, 0.2441, 0.3212, 0.3822, 0.4726, 0.5483, 0.6848, 0.8137, 0.8767, 0.9387, 1.0000
 4250.00,2.50,-1.0, 0.0018, 0.2696, 0.3463, 0.4037, 0.4907, 0.5651, 0.6994, 0.8241, 0.8841, 0.9427, 1.0000
 4500.00,2.50,-1.0, 0.0019, 0.2951, 0.3714, 0.4252, 0.5088, 0.5819, 0.7140, 0.8346, 0.8916, 0.9467, 1.0000
 4000.00,2.50,-0.5, 0.0000, 0.2666, 0.3421, 0.3992, 0.4862, 0.5602, 0.6939, 0.8191, 0.8800, 0.9402, 1.0000
 4250.00,2.50,-0.5, 0.0000, 0.2872, 0.3666, 0.4224, 0.5052, 0.5760, 0.7050, 0.8259, 0.8845, 0.9423, 1.0000
 4500.00,2.50,-0.5, 0.0000, 0.3112, 0.3920, 0.4460, 0.5262, 0.5947, 0.7194, 0.8354, 0.8912, 0.9459, 1.0000
 4750.00,2.50,-0.5, 0.0000, 0.3385, 0.4182, 0.4703, 0.5490, 0.6164, 0.7373, 0.8477, 0.9001, 0.9509, 1.0000
 5000.00,2.50,-0.5, 0.0000, 0.3691, 0.4454, 0.4952, 0.5737, 0.6410, 0.7585, 0.8628, 0.9112, 0.9573, 1.0000
 4000.00,2.50, 0.0, 0.0017, 0.2588, 0.3305, 0.3825, 0.4651, 0.5384, 0.6755, 0.8075, 0.8722, 0.9364, 1.0000
 4250.00,2.50, 0.0, 0.0018, 0.2701, 0.3462, 0.3993, 0.4817, 0.5542, 0.6891, 0.8173, 0.8793, 0.9402, 1.0000
 4500.00,2.50, 0.0, 0.0018, 0.2841, 0.3627, 0.4163, 0.4988, 0.5708, 0.7034, 0.8272, 0.8863, 0.9439, 1.0000
 4750.00,2.50, 0.0, 0.0019, 0.3008, 0.3800, 0.4337, 0.5163, 0.5882, 0.7182, 0.8371, 0.8933, 0.9475, 1.0000
 5000.00,2.50, 0.0, 0.0019, 0.3200, 0.3982, 0.4513, 0.5342, 0.6063, 0.7336, 0.8471, 0.9001, 0.9510, 1.0000
 4000.00,2.50, 0.5, 0.0000, 0.2558, 0.3277, 0.3780, 0.4574, 0.5290, 0.6656, 0.7997, 0.8664, 0.9330, 1.0000
 4250.00,2.50, 0.5, 0.0000, 0.2423, 0.3255, 0.3805, 0.4643, 0.5380, 0.6757, 0.8077, 0.8724, 0.9362, 1.0000
 4500.00,2.50, 0.5, 0.0000, 0.2289, 0.3232, 0.3829, 0.4712, 0.5470, 0.6858, 0.8157, 0.8783, 0.9394, 1.0000
 4500.00,3.00,-1.0, 0.0019, 0.2806, 0.3561, 0.4118, 0.4965, 0.5702, 0.7043, 0.8280, 0.8870, 0.9443, 1.0000
 4750.00,3.00,-1.0, 0.0019, 0.3044, 0.3803, 0.4368, 0.5216, 0.5939, 0.7226, 0.8395, 0.8948, 0.9483, 1.0000
 5000.00,3.00,-1.0, 0.0020, 0.3282, 0.4045, 0.4618, 0.5468, 0.6175, 0.7409, 0.8510, 0.9026, 0.9523, 1.0000
 5250.00,3.00,-1.0, 0.0020, 0.3520, 0.4287, 0.4868, 0.5719, 0.6412, 0.7592, 0.8624, 0.9105, 0.9563, 1.0000
 5500.00,3.00,-1.0, 0.0021, 0.3758, 0.4529, 0.5118, 0.5970, 0.6649, 0.7775, 0.8739, 0.9183, 0.9604, 1.0000
