Teff,log_g,Fe_H,mu_000,mu_001,mu_005,mu_010,mu_020,mu_030,mu_050,mu_070,mu_080,mu_090,mu_100
 5000.00,3.00,-0.5, 0.0000, 0.3554, 0.4294, 0.4812, 0.5598, 0.6270, 0.7463, 0.8539, 0.9044, 0.9531, 1.0000
 5250.00,3.00,-0.5, 0.0000, 0.3686, 0.4428, 0.4960, 0.5764, 0.6435, 0.7599, 0.8629, 0.9108, 0.9566, 1.0000
 5500.00,3.00,-0.5, 0.0000, 0.3817, 0.4562, 0.5108, 0.5930, 0.6601, 0.7736, 0.8719, 0.9171, 0.9600, 1.0000
 4500.00,3.00, 0.0, 0.0018, 0.2769, 0.3533, 0.4071, 0.4900, 0.5624, 0.6963, 0.8222, 0.8829, 0.9421, 1.0000
 4750.00,3.00, 0.0, 0.0019, 0.3021, 0.3768, 0.4282, 0.5099, 0.5822, 0.7140, 0.8346, 0.8915, 0.9467, 1.0000
 5000.00,3.00, 0.0, 0.0019, 0.3258, 0.3989, 0.4501, 0.5322, 0.6042, 0.7324, 0.8467, 0.8999, 0.9510, 1.0000
 5250.00,3.00, 0.0, 0.0020, 0.3481, 0.4196, 0.4728, 0.5569, 0.6282, 0.7513, 0.8585, 0.9079, 0.9550, 1.0000
 5500.00,3.00, 0.0, 0.0020, 0.3690, 0.4389, 0.4963, 0.5840, 0.6544, 0.7710, 0.8700, 0.9156, 0.9589, 1.0000
 4500.00,3.00, 0.5, 0.0000, 0.2475, 0.3338, 0.3906, 0.4759, 0.5498, 0.6864, 0.8157, 0.8783, 0.9396, 1.0000
 4750.00,3.00, 0.5, 0.0000, 0.2641, 0.3491, 0.4057, 0.4916, 0.5660, 0.7010, 0.8258, 0.8853, 0.9433, 1.0000
 5000.00,3.00, 0.5, 0.0000, 0.2807, 0.3645, 0.4209, 0.5073, 0.5821, 0.7155, 0.8359, 0.8924, 0.9470, 1.0000
 5000.00,3.50,-1.0, 0.0019, 0.3248, 0.3927, 0.4472, 0.5339, 0.6083, 0.7375, 0.8503, 0.9025, 0.9523, 1.0000
 5250.00,3.50,-1.0, 0.0020, 0.3476, 0.4169, 0.4741, 0.5619, 0.6344, 0.7567, 0.8618, 0.9101, 0.9561, 1.0000
 5500.00,3.50,-1.0, 0.0020, 0.3648, 0.4388, 0.4989, 0.5870, 0.6574, 0.7734, 0.8718, 0.9167, 0.9595, 1.0000
 5750.00,3.50,-1.0, 0.0020, 0.3766, 0.4583, 0.5215, 0.6093, 0.6773, 0.7876, 0.8802, 0.9223, 0.9623, 1.0000
 6000.00,3.50,-1.0, 0.0020, 0.3829, 0.4755, 0.5419, 0.6289, 0.6941, 0.7992, 0.8871, 0.9268, 0.9646, 1.0000
 4250.00,3.50,-0.5, 0.0000, 0.2374, 0.3304, 0.3970, 0.4917, 0.5685, 0.7030, 0.8262, 0.8853, 0.9433, 1.0000
 4500.00,3.50,-0.5, 0.0000, 0.2837, 0.3689, 0.4281, 0.5142, 0.5863, 0.7151, 0.8336, 0.8904, 0.9458, 1.0000
 4750.00,3.50,-0.5, 0.0000, 0.3195, 0.3988, 0.4532, 0.5342, 0.6034, 0.7279, 0.8418, 0.8960, 0.9487, 1.0000
 5000.00,3.50,-0.5, 0.0000, 0.3451, 0.4200, 0.4724, 0.5518, 0.6198, 0.7413, 0.8507, 0.9022, 0.9520, 1.0000
 5250.00,3.50,-0.5, 0.0000, 0.3603, 0.4328, 0.4858, 0.5669, 0.6357, 0.7553, 0.8603, 0.9090, 0.9556, 1.0000
 5500.00,3.50,-0.5, 0.0000, 0.3709, 0.4445, 0.4998, 0.5835, 0.6526, 0.7695, 0.8697, 0.9154, 0.9589, 1.0000
 5750.00,3.50,-0.5, 0.0000, 0.3801, 0.4594, 0.5181, 0.6034, 0.6715, 0.7836, 0.8782, 0.9212, 0.9618, 1.0000
 6000.00,3.50,-0.5, 0.0000, 0.3879, 0.4774, 0.5409, 0.6269, 0.6925, 0.7976, 0.8859, 0.9261, 0.9642, 1.0000
 4500.00,3.50, 0.0, 0.0018, 0.2540, 0.3378, 0.3956, 0.4820, 0.5562, 0.6922, 0.8197, 0.8812, 0.9412, 1.0000
 4750.00,3.50, 0.0, 0.0018, 0.2792, 0.3580, 0.4132, 0.4983, 0.5722, 0.7066, 0.8299, 0.8884, 0.9451, 1.0000
 5000.00,3.50, 0.0, 0.0019, 0.3042, 0.3797, 0.4337, 0.5186, 0.5922, 0.7235, 0.8413, 0.8963, 0.9492, 1.0000
 5250.00,3.50, 0.0, 0.0019, 0.3290, 0.4029, 0.4572, 0.5429, 0.6160, 0.7429, 0.8538, 0.9049, 0.9535, 1.0000
 5500.00,3.50, 0.0, 0.0020, 0.3527, 0.4274, 0.4834, 0.5702, 0.6422, 0.7632, 0.8663, 0.9133, 0.9577, 1.0000
 5750.00,3.50, 0.0, 0.0021, 0.3734, 0.4528, 0.5117, 0.5989, 0.6681, 0.7815, 0.8769, 0.9202, 0.9612, 1.0000
 6000.00,3.50, 0.0, 0.0021, 0.3911, 0.4791, 0.5423, 0.6290, 0.6938, 0.7977, 0.8855, 0.9256, 0.9639, 1.0000
 4500.00,3.50, 0.5, 0.0000, 0.2270, 0.3160, 0.3765, 0.4661, 0.5426, 0.6822, 0.8135, 0.8769, 0.9391, 1.0000
 4750.00,3.50, 0.5, 0.0000, 0.2575, 0.3420, 0.3998, 0.4873, 0.5624, 0.6987, 0.8247, 0.8849, 0.9433, 1.0000
 5000.00,3.50, 0.5, 0.0000, 0.2879, 0.3679, 0.4231, 0.5084, 0.5822, 0.7151, 0.8360, 0.8928, 0.9475, 1.0000
 5000.00,4.00,-2.0, 0.0022, 0.2775, 0.3623, 0.4359, 0.5445, 0.6282, 0.7597, 0.8660, 0.9134, 0.9579, 1.0000
 5250.00,4.00,-2.0, 0.0020, 0.2734, 0.3844, 0.4656, 0.5720, 0.6509, 0.7741, 0.8739, 0.9184, 0.9604, 1.0000
 5500.00,4.00,-2.0, 0.0020, 0.2826, 0.4087, 0.4926, 0.5953, 0.6695, 0.7854, 0.8799, 0.9222, 0.9623, 1.0000
 5750.00,4.00,-2.0, 0.0021, 0.3051, 0.4351, 0.5172, 0.6144, 0.6840, 0.7936, 0.8841, 0.9249, 0.9636, 1.0000
 6000.00,4.00,-2.0, 0.0023, 0.3294, 0.4583, 0.5381, 0.6306, 0.6964, 0.8007, 0.8878, 0.9272, 0.9647, 1.0000
 6250.00,4.00,-2.0, 0.0022, 0.3485, 0.4751, 0.5547, 0.6447, 0.7080, 0.8079, 0.8916, 0.9297, 0.9659, 1.0000
 6500.00,4.00,-2.0, 0.0020, 0.3625, 0.4853, 0.5671, 0.6568, 0.7188, 0.8152, 0.8957, 0.9324, 0.9671, 1.0000
 5000.00,4.00,-1.0, 0.0020, 0.3129, 0.3816, 0.4369, 0.5258, 0.6020, 0.7341, 0.8488, 0.9016, 0.9519, 1.0000
 5250.00,4.00,-1.0, 0.0023, 0.3396, 0.4074, 0.4630, 0.5511, 0.6253, 0.7512, 0.8589, 0.9082, 0.9552, 1.0000
 5500.00,4.00,-1.0, 0.0024, 0.3590, 0.4278, 0.4846, 0.5718, 0.6438, 0.7643, 0.8666, 0.9133, 0.9577, 1.0000
 5750.00,4.00,-1.0, 0.0022, 0.3712, 0.4429, 0.5016, 0.5881, 0.6578, 0.7736, 0.8720, 0.9169, 0.9596, 1.0000
 6000.00,4.00,-1.0, 0.0020, 0.3784, 0.4567, 0.5182, 0.6042, 0.6718, 0.7830, 0.8775, 0.9206, 0.9614, 1.0000
 6250.00,4.00,-1.0, 0.0020, 0.3816, 0.4713, 0.5361, 0.6224, 0.6881, 0.7945, 0.8842, 0.9250, 0.9636, 1.0000
 6500.00,4.00,-1.0, 0.0021, 0.3808, 0.4865, 0.5553, 0.6425, 0.7066, 0.8081, 0.8922, 0.9302, 0.9660, 1.0000
 4500.00,4.00,-0.5, 0.0000, 0.2792, 0.3632, 0.4231, 0.5118, 0.5859, 0.7162, 0.8349, 0.8914, 0.9464, 1.0000
 4750.00,4.00,-0.5, 0.0000, 0.3482, 0.4222, 0.4741, 0.5524, 0.6193, 0.7392, 0.8488, 0.9007, 0.9511, 1.0000
 5000.00,4.00,-0.5, 0.0000, 0.3794, 0.4484, 0.4971, 0.5720, 0.6366, 0.7523, 0.8570, 0.9064, 0.9540, 1.0000
 5250.00,4.00,-0.5, 0.0000, 0.3733, 0.4424, 0.4928, 0.5711, 0.6381, 0.7556, 0.8599, 0.9085, 0.9551, 1.0000
 5500.00,4.00,-0.5, 0.0000, 0.3627, 0.4346, 0.4885, 0.5712, 0.6406, 0.7595, 0.8629, 0.9107, 0.9563, 1.0000
 5750.00,4.00,-0.5, 0.0000, 0.3664, 0.4424, 0.4996, 0.5846, 0.6538, 0.7699, 0.8694, 0.9150, 0.9584, 1.0000
 6000.00,4.00,-0.5, 0.0000, 0.3770, 0.4588, 0.5195, 0.6053, 0.6729, 0.7838, 0.8777, 0.9205, 0.9612, 1.0000
 6250.00,4.00,-0.5, 0.0000, 0.3837, 0.4735, 0.5379, 0.6247, 0.6906, 0.7967, 0.8854, 0.9257, 0.9638, 1.0000
 6500.00,4.00,-0.5, 0.0000, 0.3865, 0.4864, 0.5547, 0.6427, 0.7069, 0.8084, 0.8925, 0.9305, 0.9664, 1.0000
 4500.00,4.00, 0.0, 0.0003, 0.2399, 0.3243, 0.3836, 0.4731, 0.5499, 0.6888, 0.8180, 0.8801, 0.9407, 1.0000
 4750.00,4.00, 0.0, 0.0013, 0.2686, 0.3498, 0.4065, 0.4931, 0.5680, 0.7036, 0.8281, 0.8872, 0.9445, 1.0000
 5000.00,4.00, 0.0, 0.0019, 0.2962, 0.3744, 0.4294, 0.5145, 0.5881, 0.7199, 0.8389, 0.8947, 0.9483, 1.0000
 5250.00,4.00, 0.0, 0.0020, 0.3228, 0.3981, 0.4525, 0.5372, 0.6100, 0.7377, 0.8503, 0.9025, 0.9523, 1.0000
 5500.00,4.00, 0.0, 0.0019, 0.3458, 0.4194, 0.4740, 0.5593, 0.6313, 0.7546, 0.8608, 0.9095, 0.9559, 1.0000
 5750.00,4.00, 0.0, 0.0020, 0.3625, 0.4364, 0.4925, 0.5786, 0.6493, 0.7680, 0.8688, 0.9148, 0.9586, 1.0000
 6000.00,4.00, 0.0, 0.0020, 0.3761, 0.4529, 0.5110, 0.5975, 0.6664, 0.7799, 0.8757, 0.9194, 0.9609, 1.0000
 6250.00,4.00, 0.0, 0.0021, 0.3905, 0.4733, 0.5332, 0.6185, 0.6849, 0.7928, 0.8833, 0.9243, 0.9633, 1.0000
 6500.00,4.00, 0.0, 0.0021, 0.4057, 0.4976, 0.5591, 0.6418, 0.7050, 0.8067, 0.8915, 0.9298, 0.9659, 1.0000
 4500.00,4.00, 0.5, 0.0000, 0.2254, 0.3105, 0.3712, 0.4624, 0.5398, 0.6804, 0.8122, 0.8759, 0.9385, 1.0000
 4750.00,4.00, 0.5, 0.0000, 0.2529, 0.3348, 0.3930, 0.4813, 0.5571, 0.6944, 0.8216, 0.8825, 0.9419, 1.0000
 5000.00,4.00, 0.5, 0.0000, 0.2778, 0.3576, 0.4139, 0.5002, 0.5746, 0.7087, 0.8312, 0.8892, 0.9454, 1.0000
 5250.00,4.00, 0.5, 0.0000, 0.3003, 0.3787, 0.4338, 0.5189, 0.5923, 0.7233, 0.8410, 0.8961, 0.9490, 1.0000
 5500.00,4.00, 0.5, 0.0000, 0.3203, 0.3983, 0.4529, 0.5375, 0.6102, 0.7382, 0.8510, 0.9031, 0.9528, 1.0000
 5000.00,4.50,-2.0, 0.0019, 0.2312, 0.3482, 0.4336, 0.5514, 0.6382, 0.7704, 0.8738, 0.9189, 0.9608, 1.0000
 5250.00,4.50,-2.0, 0.0019, 0.2584, 0.3706, 0.4577, 0.5726, 0.6553, 0.7808, 0.8792, 0.9224, 0.9625, 1.0000
 5500.00,4.50,-2.0, 0.0020, 0.2828, 0.3944, 0.4808, 0.5910, 0.6692, 0.7885, 0.8829, 0.9246, 0.9635, 1.0000
 5750.00,4.50,-2.0, 0.0020, 0.3046, 0.4197, 0.5030, 0.6064, 0.6800, 0.7935, 0.8849, 0.9257, 0.9639, 1.0000
 6000.00,4.50,-2.0, 0.0020, 0.3233, 0.4426, 0.5218, 0.6183, 0.6877, 0.7965, 0.8858, 0.9261, 0.9640, 1.0000
 6250.00,4.50,-2.0, 0.0020, 0.3385, 0.4583, 0.5344, 0.6259, 0.6925, 0.7981, 0.8862, 0.9262, 0.9641, 1.0000
 6500.00,4.50,-2.0, 0.0021, 0.3503, 0.4670, 0.5406, 0.6293, 0.6943, 0.7985, 0.8862, 0.9262, 0.9642, 1.0000
 5000.00,4.50,-1.0, 0.0019, 0.3034, 0.3656, 0.4211, 0.5116, 0.5904, 0.7273, 0.8456, 0.8997, 0.9511, 1.0000
 5250.00,4.50,-1.0, 0.0019, 0.3296, 0.3889, 0.4454, 0.5380, 0.6161, 0.7476, 0.8582, 0.9081, 0.9553, 1.0000
 5500.00,4.50,-1.0, 0.0019, 0.3434, 0.4081, 0.4675, 0.5612, 0.6376, 0.7634, 0.8676, 0.9143, 0.9584, 1.0000
 5750.00,4.50,-1.0, 0.0020, 0.3450, 0.4232, 0.4875, 0.5813, 0.6551, 0.7747, 0.8737, 0.9183, 0.9603, 1.0000
 6000.00,4.50,-1.0, 0.0020, 0.3496, 0.4392, 0.5068, 0.5993, 0.6700, 0.7838, 0.8785, 0.9213, 0.9617, 1.0000
 6250.00,4.50,-1.0, 0.0020, 0.3692, 0.4600, 0.5268, 0.6159, 0.6835, 0.7923, 0.8832, 0.9243, 0.9632, 1.0000
 6500.00,4.50,-1.0, 0.0021, 0.4038, 0.4855, 0.5475, 0.6312, 0.6956, 0.8003, 0.8879, 0.9274, 0.9648, 1.0000
 4500.00,4.50,-0.5, 0.0000, 0.2733, 0.3555, 0.4178, 0.5116, 0.5888, 0.7213, 0.8391, 0.8945, 0.9481, 1.0000
 4750.00,4.50,-0.5, 0.0000, 0.3027, 0.3751, 0.4320, 0.5213, 0.5968, 0.7279, 0.8439, 0.8980, 0.9500, 1.0000
 5000.00,4.50,-0.5, 0.0000, 0.3265, 0.3930, 0.4465, 0.5326, 0.6066, 0.7357, 0.8493, 0.9017, 0.9520, 1.0000
 5250.00,4.50,-0.5, 0.0000, 0.3447, 0.4090, 0.4612, 0.5457, 0.6184, 0.7447, 0.8550, 0.9057, 0.9540, 1.0000
 5500.00,4.50,-0.5, 0.0000, 0.3574, 0.4232, 0.4762, 0.5604, 0.6320, 0.7549, 0.8612, 0.9099, 0.9561, 1.0000
 5750.00,4.50,-0.5, 0.0000, 0.3647, 0.4356, 0.4914, 0.5769, 0.6475, 0.7663, 0.8679, 0.9142, 0.9582, 1.0000
 6000.00,4.50,-0.5, 0.0000, 0.3717, 0.4484, 0.5071, 0.5937, 0.6631, 0.7777, 0.8745, 0.9186, 0.9604, 1.0000
 6250.00,4.50,-0.5, 0.0000, 0.3814, 0.4628, 0.5237, 0.6101, 0.6778, 0.7882, 0.8808, 0.9228, 0.9625, 1.0000
 6500.00,4.50,-0.5, 0.0000, 0.3918, 0.4786, 0.5408, 0.6263, 0.6920, 0.7982, 0.8868, 0.9268, 0.9645, 1.0000
 6750.00,4.50,-0.5, 0.0000, 0.4009, 0.4956, 0.5586, 0.6424, 0.7058, 0.8077, 0.8923, 0.9304, 0.9663, 1.0000
 7000.00,4.50,-0.5, 0.0000, 0.4087, 0.5138, 0.5769, 0.6585, 0.7195, 0.8168, 0.8974, 0.9338, 0.9680, 1.0000
 4500.00,4.50, 0.0, 0.0018, 0.2384, 0.3168, 0.3772, 0.4705, 0.5492, 0.6895, 0.8188, 0.8807, 0.9411, 1.0000
 4750.00,4.50, 0.0, 0.0018, 0.2665, 0.3429, 0.3995, 0.4886, 0.5655, 0.7034, 0.8286, 0.8877, 0.9448, 1.0000
 5000.00,4.50, 0.0, 0.0018, 0.2901, 0.3652, 0.4200, 0.5069, 0.5823, 0.7171, 0.8378, 0.8941, 0.9481, 1.0000
 5250.00,4.50, 0.0, 0.0019, 0.3090, 0.3834, 0.4387, 0.5252, 0.5995, 0.7306, 0.8464, 0.8999, 0.9511, 1.0000
 5500.00,4.50, 0.0, 0.0020, 0.3271, 0.4012, 0.4577, 0.5445, 0.6178, 0.7445, 0.8548, 0.9055, 0.9538, 1.0000
 5750.00,4.50, 0.0, 0.0020, 0.3483, 0.4223, 0.4793, 0.5659, 0.6377, 0.7593, 0.8637, 0.9114, 0.9568, 1.0000
 6000.00,4.50, 0.0, 0.0020, 0.3668, 0.4425, 0.5003, 0.5867, 0.6568, 0.7734, 0.8720, 0.9170, 0.9595, 1.0000
 6250.00,4.50, 0.0, 0.0021, 0.3737, 0.4551, 0.5155, 0.6027, 0.6715, 0.7841, 0.8784, 0.9213, 0.9617, 1.0000
 6500.00,4.50, 0.0, 0.0020, 0.3771, 0.4664, 0.5299, 0.6177, 0.6852, 0.7939, 0.8844, 0.9252, 0.9638, 1.0000
 6750.00,4.50, 0.0, 0.0019, 0.3863, 0.4828, 0.5487, 0.6361, 0.7016, 0.8056, 0.8913, 0.9298, 0.9660, 1.0000
 7000.00,4.50, 0.0, 0.0015, 0.4010, 0.5046, 0.5718, 0.6578, 0.7209, 0.8191, 0.8992, 0.9349, 0.9685, 1.0000
 4500.00,4.50, 0.5, 0.0000, 0.3309, 0.3947, 0.4463, 0.5272, 0.5963, 0.7205, 0.8360, 0.8917, 0.9464, 1.0000
 4750.00,4.50, 0.5, 0.0000, 0.2884, 0.3611, 0.4158, 0.5008, 0.5741, 0.7067, 0.8292, 0.8877, 0.9446, 1.0000
 5000.00,4.50, 0.5, 0.0000, 0.2741, 0.3516, 0.4076, 0.4943, 0.5694, 0.7052, 0.8294, 0.8881, 0.9450, 1.0000
 5250.00,4.50, 0.5, 0.0000, 0.2880, 0.3662, 0.4217, 0.5078, 0.5823, 0.7159, 0.8366, 0.8932, 0.9476, 1.0000
 5500.00,4.50, 0.5, 0.0000, 0.3182, 0.3950, 0.4491, 0.5334, 0.6059, 0.7341, 0.8480, 0.9010, 0.9516, 1.0000
 5750.00,4.50, 0.5, 0.0000, 0.3389, 0.4155, 0.4696, 0.5537, 0.6252, 0.7494, 0.8577, 0.9075, 0.9548, 1.0000
 6000.00,4.50, 0.5, 0.0000, 0.3491, 0.4269, 0.4824, 0.5680, 0.6397, 0.7614, 0.8653, 0.9125, 0.9573, 1.0000
 5000.00,5.00,-2.0, 0.0019, 0.2380, 0.3641, 0.4519, 0.5696, 0.6551, 0.7834, 0.8819, 0.9244, 0.9636, 1.0000
 5250.00,5.00,-2.0, 0.0020, 0.2614, 0.3751, 0.4617, 0.5780, 0.6615, 0.7868, 0.8835, 0.9254, 0.9640, 1.0000
 5500.00,5.00,-2.0, 0.0020, 0.2849, 0.3860, 0.4715, 0.5864, 0.6679, 0.7902, 0.8851, 0.9263, 0.9644, 1.0000
 5000.00,5.00,-1.0, 0.0019, 0.3025, 0.3637, 0.4203, 0.5111, 0.5907, 0.7290, 0.8476, 0.9013, 0.9520, 1.0000
 5250.00,5.00,-1.0, 0.0019, 0.3222, 0.3822, 0.4387, 0.5308, 0.6098, 0.7437, 0.8565, 0.9072, 0.9550, 1.0000
 5500.00,5.00,-1.0, 0.0020, 0.3418, 0.4008, 0.4571, 0.5505, 0.6288, 0.7584, 0.8654, 0.9131, 0.9579, 1.0000
 4500.00,5.00,-0.5, 0.0000, 0.2694, 0.3584, 0.4257, 0.5238, 0.6019, 0.7328, 0.8467, 0.8997, 0.9507, 1.0000
 4750.00,5.00,-0.5, 0.0000, 0.3016, 0.3713, 0.4288, 0.5174, 0.5926, 0.7246, 0.8420, 0.8967, 0.9493, 1.0000
 4500.00,5.00, 0.0, 0.0018, 0.2287, 0.3168, 0.3832, 0.4818, 0.5626, 0.7023, 0.8274, 0.8867, 0.9441, 1.0000
 4750.00,5.00, 0.0, 0.0019, 0.2447, 0.3220, 0.3839, 0.4792, 0.5598, 0.7016, 0.8284, 0.8878, 0.9449, 1.0000
 5000.00,5.00, 0.0, 0.0020, 0.2666, 0.3372, 0.3957, 0.4881, 0.5676, 0.7084, 0.8334, 0.8914, 0.9468, 1.0000
 5250.00,5.00, 0.0, 0.0020, 0.2943, 0.3625, 0.4186, 0.5084, 0.5860, 0.7225, 0.8423, 0.8975, 0.9499, 1.0000
