Teff,log_g,Fe_H,mu_000,mu_001,mu_005,mu_010,mu_020,mu_030,mu_050,mu_070,mu_080,mu_090,mu_100
 4021.90,1.50,-2.0, 0.00181, 0.24285, 0.32793, 0.38985, 0.48015, 0.55700, 0.69614, 0.82387, 0.88458, 0.94310, 1.00000
 4037.03,2.00,-2.0, 0.00178, 0.22620, 0.31705, 0.38190, 0.47629, 0.55528, 0.69587, 0.82396, 0.88461, 0.94321, 1.00000
 4452.94,2.00,-2.0, 0.00186, 0.27393, 0.36667, 0.43255, 0.53013, 0.60978, 0.74217, 0.85436, 0.90553, 0.95399, 1.00000
 4037.59,2.50,-2.0, 0.00181, 0.21989, 0.32457, 0.39416, 0.49145, 0.56999, 0.70680, 0.83051, 0.88892, 0.94535, 1.00000
 4426.04,2.50,-2.0, 0.00184, 0.24917, 0.34169, 0.40810, 0.50705, 0.58881, 0.72706, 0.84541, 0.89964, 0.95102, 1.00000
 5390.37,2.50,-2.0, 0.00204, 0.32687, 0.44623, 0.52201, 0.61583, 0.68367, 0.79124, 0.88197, 0.92337, 0.96275, 1.00000
 5509.14,3.00,-2.0, 0.00203, 0.32462, 0.45157, 0.53258, 0.62652, 0.69298, 0.79766, 0.88553, 0.92561, 0.96382, 1.00000
 5961.94,3.50,-2.0, 0.00208, 0.34635, 0.47015, 0.54401, 0.63104, 0.69490, 0.79788, 0.88517, 0.92543, 0.96371, 1.00000
 5059.64,4.00,-2.0, 0.00211, 0.27534, 0.36735, 0.44323, 0.55145, 0.63397, 0.76339, 0.86805, 0.91471, 0.95853, 1.00000
 5480.60,4.00,-2.0, 0.00198, 0.28144, 0.40670, 0.49063, 0.59368, 0.66817, 0.78461, 0.87950, 0.92198, 0.96214, 1.00000
 5954.96,4.00,-2.0, 0.00225, 0.32537, 0.45462, 0.53460, 0.62780, 0.69422, 0.79943, 0.88709, 0.92681, 0.96453, 1.00000
 6419.24,4.00,-2.0, 0.00206, 0.35858, 0.48270, 0.56354, 0.65312, 0.71542, 0.81287, 0.89437, 0.93151, 0.96668, 1.00000
 5787.32,4.44,-2.0, 0.00200, 0.29687, 0.42577, 0.50728, 0.60854, 0.68134, 0.79370, 0.88471, 0.92549, 0.96379, 1.00000
 4976.19,4.50,-2.0, 0.00190, 0.22848, 0.34614, 0.43128, 0.54919, 0.63642, 0.76928, 0.87318, 0.91852, 0.96060, 1.00000
 5462.38,4.50,-2.0, 0.00197, 0.27932, 0.39070, 0.47741, 0.58839, 0.66735, 0.78749, 0.88245, 0.92437, 0.96340, 1.00000
 6064.09,4.50,-2.0, 0.00202, 0.32755, 0.44730, 0.52562, 0.62065, 0.68919, 0.79705, 0.88596, 0.92614, 0.96406, 1.00000
 6500.28,4.50,-2.0, 0.00207, 0.35029, 0.46698, 0.54062, 0.62930, 0.69432, 0.79845, 0.88621, 0.92623, 0.96422, 1.00000
